,Source Word,Derived Word,Affix
165,computerize,computerization,-ation
166,concave,concavation,-ation
167,conceptualize,conceptualization,-ation
168,conditionalize,conditionalization,-ation
169,condone,condonation,-ation
170,confessionalize,confessionalization,-ation
171,confine,confination,-ation
172,globe,conglobation,con-;-ation
173,conidia,conidiation,-ation
174,connote,connotation,-ation
175,conservatize,conservatization,-ation
176,consider,consideration,-ation
177,coopt,cooptation,-ation
178,criticize,criticization,-ation
179,crotonyl,crotonylation,-ation
180,crotyl,crotylation,-ation
181,crust,crustation,-ation
182,cupel,cupelation,-ation
183,cupel,cupellation,-ation
184,cusp,cuspation,-ation
185,cyanide,cyanidation,-ation
186,cyclize,cyclization,-ation
187,cyclopropane,cyclopropanation,-ation
188,cyclopropene,cyclopropenation,-ation
189,cysteinyl,cysteinylation,-ation
190,Danicise,Danicisation,-ation
191,Danicize,Danicization,-ation
192,dansyl,dansylation,-ation
193,de-Islamise,de-Islamisation,-ation
194,de-Islamize,de-Islamization,-ation
195,deafferent,deafferentation,-ation
196,arterialize,dearterialization,de-;-ation
197,aurum,deauration,de-;-ation
198,boron,deboronation,de-;-ation
199,decant,decantation,-ation
200,carbonize,decarbonization,de-;-ation
201,decentralise,decentralisation,-ation
202,christianize,dechristianization,de-;-ation
203,decimalise,decimalisation,-ation
204,declericalize,declericalization,-ation
205,deconfessionalize,deconfessionalization,-ation
206,decrement,decrementation,-ation
207,culture,deculturation,de-;-ation
208,deculturize,deculturization,-ation
209,fauna,defaunation,de-;-ation
210,defeminize,defeminization,-ation
211,defenestrate,defenestration,-atio
212,figure,defiguration,de-;-ation
213,deflagrare,deflagration,-ation
214,germ,degermation,de-;-ation
215,glutathione,deglutathionylation,de-;-yl;-ation
216,deinstitutionalize,deinstitutionalization,-ation
217,deionise,deionisation,-ation
218,deionize,deionization,-ation
219,libidinize,delibidinization,de-;-ation
220,liber,delibration,de-;-ation
221,demagnetize,demagnetization,-ation
222,mannosyl,demannosylation,de-;-ation
223,dement,dementation,-ation
224,methylimine,demethylimination,de-;-ation
225,democratise,democratisation,-ation
226,democratize,democratization,-ation
227,demoralize,demoralization,-ation
228,denature,denaturation,-ation
229,denizen,denizenation,-ation
230,denormalize,denormalization,-ation
231,notare,denotation,de-;-ation
232,deodorise,deodorisation,-ation
233,deoptimize,deoptimization,-ation
234,palmitoyl,depalmitoylation,de-;-ation
235,paraffin,deparaffination,de-;-ation
236,department,departmentation,-ation
237,phenyl,dephenylation,de-;-ation
238,depolymerize,depolymerization,-ation
239,populate,depopulation,de-;-ation
240,depressurise,depressurisation,-ation
241,depressurize,depressurization,-ation
242,deproteinize,deproteinization,-ation
243,purine,depurination,de-;-ation
244,pyrimidine,depyrimidination,de-;-ation
245,derivatize,derivatization,-ation
246,arginine,desargination,des-;-ation
247,desensitise,desensitisation,-ation
248,deserialize,deserialization,-ation
249,silyl,desilylation,de-;-ation
250,structure,destructuration,de-;-ation
251,sulfur,desulfuration,de-;-ation
252,desulfurize,desulfurization,-ation
253,desulphurise,desulphurisation,-ation
254,desulphurize,desulphurization,-ation
255,desynchronise,desynchronisation,-ation
256,desynchronize,desynchronization,-ation
257,tartrate,detartration,de-;-ation
258,determinize,determinization,-ation
259,terra,deterration,de-;-ation
260,detonize,detonization,-ation
261,detraditionalize,detraditionalization,-ation
262,devalorize,devalorization,-ation
263,development,developmentation,-ation
264,deverbalize,deverbalization,-ation
265,virgin,devirgination,de-;-ation
266,devirginise,devirginisation,-ation
267,devirginize,devirginization,-ation
268,devitalize,devitalization,-ation
269,devulgarize,devulgarization,-ation
270,diacyl,diacylation,-ation
271,dialyze,dialyzation,-ation
272,dichotomize,dichotomization,-ation
273,digitalize,digitalization,-ation
274,digitate,digitation,-ation
275,digitise,digitisation,-ation
276,digitize,digitization,-ation
277,dignify,dignification,-ation
278,dimerize,dimerization,-ation
279,diminutivise,diminutivisation,-ation
280,diminutivize,diminutivization,-ation
281,olefin,diolefination,di-;-ation
282,diphthong,diphthongation,-ation
283,disaffect,disaffectation,-ation
284,disaffirm,disaffirmation,-ation
285,color,discoloration,di-;-ation
286,discolour,discolouration,-ation
287,discretize,discretization,-ation
288,disfix,disfixation,-ation
289,palatalize,dispalatalization,dis-;-ation
290,dollarize,dollarization,-ation
291,afferent,dysafferentation,dys-;-ation
292,easternize,easternization,-ation
293,economize,economization,-ation
294,Edenize,Edenization,-ation
295,educationalize,educationalization,-ation
296,electrize,electrization,-ation
297,electrolyze,electrolyzation,-ation
298,electron,electronation,-ation
299,element,elementation,-ation
300,elicit,elicitation,-ation
301,emend,emendation,-ation
302,emphasize,emphasization,-ation
303,capsid,encapsidation,en-;-ation
304,encephalize,encephalization,-ation
305,culture,enculturation,en-;-ation
306,endogenize,endogenization,-ation
307,endorse,endorsation,-ation
308,energise,energisation,-ation
309,energize,energization,-ation
310,engraft,engraftation,-ation
311,envenom,envenomation,-ation
312,equalize,equalization,-ation
313,equitize,equitization,-ation
314,eternize,eternization,-ation
315,ethyl,ethylation,-ation
316,ethynyl,ethynylation,-ation
317,etymologize,etymologization,-ation
318,eulogize,eulogization,-ation
319,euthanize,euthanization,-ation
320,evangelize,evangelization,-ation
321,venter,eventration,-ation
322,exantlate,exantlation,-ation
323,expect,expectation,-ation
324,explant,explantation,-ation
325,explicit,explicitation,-ation
326,exteriorize,exteriorization,-ation
327,exude,exudation,-ation
328,factorize,factorization,-ation
329,factualize,factualization,-ation
330,FAFIA,fafiation,-ation
331,fantasize,fantasization,-ation
332,fecund,fecundation,-ation
333,Fennicize,Fennicization,-ation
334,fertilise,fertilisation,-ation
335,fertilize,fertilization,-ation
336,feudalise,feudalisation,-ation
337,fibrin,fibrination,-ation
338,fictionalize,fictionalization,-ation
339,figment,figmentation,-ation
340,filament,filamentation,-ation
341,financialize,financialization,-ation
342,Finnicize,Finnicization,-ation
343,fissure,fissuration,-ation
344,fistula,fistulation,-ation
345,flabbergast,flabbergastation,-ation
346,flabbergast,flabergastation,-ation
347,flavin,flavination,-ation
348,flirt,flirtation,-ation
349,floccule,flocculation,-ation
350,fluidize,fluidization,-ation
351,fluoride,fluoridation,-ation
352,fluorine,fluorination,-ation
353,fluster,flusteration,-ation
354,flux,fluxation,-ation
355,foment,fomentation,-atio;-ationem;-ation
356,forest,forestation,-ation
357,formyl,formylation,-ation
358,fraction,fractionation,-ation
359,fragment,fragmentation,-ation
360,frequent,frequentation,-ation
361,fucosyl,fucosylation,-ation
362,furfur,furfuration,-ation
363,GAFIA,gafiation,-ation
364,gallize,gallization,-ation
365,galvanize,galvanization,-ation
366,gelatin,gelatination,-ation
367,gemma,gemmation,-ation
368,gemmule,gemmulation,-ation
369,geranyl,geranylation,-ation
370,geranylgeranyl,geranylgeranylation,-ation
371,ghettoize,ghettoization,-ation
372,glamorise,glamorisation,-ation
373,glamourise,glamourisation,-ation
374,gloat,gloatation,-ation
375,glomerule,glomerulation,-ation
376,glucoside,glucosidation,-ation
377,glucosyl,glucosylation,-ation
378,glucuronide,glucuronidation,-ation
379,glutamine,glutamination,-ation
380,glutamyl,glutamylation,-ation
381,glutathionyl,glutathionylation,-ation
382,glycan,glycanation,-ation
383,glycoside,glycosidation,-ation
384,glycosyl,glycosylation,-ation
385,gracilise,gracilisation,-ation
386,gracilize,gracilization,-ation
387,graticule,graticulation,-ation
388,gravity,gravitation,-ation
389,ground,groundation,-ation
390,guanidyl,guanidylation,-ation
391,halo,halation,-ation
392,halogen,halogenation,-ation
393,haptenize,haptenization,-ation
394,harmonize,harmonization,-ation
395,hatchet,hatchetation,-ation
396,Hebraicize,Hebraicization,-ation
397,Hebraize,Hebraization,-ation
398,heparinize,heparinization,-ation
399,hernia,herniation,-ation
400,heteroaryl,heteroarylation,-ation
401,hexosyl,hexosylation,-ation
402,hide,hidation,-ation
403,holler,holleration,-ation
404,homogenize,homogenization,-ation
405,horizontalize,horizontalization,-ation
406,horrific,horrification,-ification;-ation
407,human,humanation,-ion;-ation
408,hydrazine,hydrazination,-ation
409,alkenyl,hydroalkenylation,hydro-;-ation
410,amine,hydroamination,hydro-;-ation
411,azide,hydroazidation,hydro-;-ation
412,hydrogel,hydrogelation,hydro-;-ation
413,hydrogen,hydrogenation,-ation
414,hydrolyse,hydrolysation,-ation
415,hydrolyze,hydrolyzation,-ation
416,hydrophilize,hydrophilization,-ation
417,phosphine,hydrophosphination,hydro-;-ation
418,pyrrole,hydropyrrolation,hydro-;-ation
419,thiol,hydrothiolation,hydro-;-ation
420,hydroxyl,hydroxylation,-ation
421,hyphen,hyphenation,-ation
422,hypnotize,hypnotization,-ation
423,hypostatize,hypostatization,-ation
424,hypusine,hypusination,-ation
425,iconize,iconization,-ation
426,idealize,idealization,-ation
427,idolize,idolization,-ation
428,ignore,ignoration,-ation
429,illaqueare,illaqueation,-ation
430,balsam,imbalsamation,in-;-ation
431,misery,immiseration,in-;-ation
432,immortalize,immortalization,-ation
433,impale,impalation,-ation
434,impart,impartation,-ation
435,impropriate,impropriation,-ation
436,impugn,impugnation,-ation
437,impure,impuration,-ation
438,incense,incensation,-ation
439,incentivize,incentivization,-ation
440,claim,inclamation,in-;-ation
441,increment,incrementation,-ation
442,indorse,indorsation,-ation
443,infantilize,infantilization,-ation
444,infix,infixation,-ation
445,gravid,ingravidation,in-;-ation
446,inhabit,inhabitation,-ation
447,inhume,inhumation,-ation
448,initialise,initialisation,-ation
449,initialize,initialization,-ation
450,liber,inlibration,in-;-ation
451,institutionalise,institutionalisation,-ation
452,instrument,instrumentation,-ation
453,integument,integumentation,-ation
454,intense,intensation,-ation
455,internalise,internalisation,-ation
456,inthronize,inthronization,-ation
457,iodine,iodination,-ation
458,iodise,iodisation,-ation
459,iodize,iodization,-ation
460,ionise,ionisation,-ation
461,ionize,ionization,-ation
462,iotize,iotization,-ation
463,ipsatize,ipsatization,-ation
464,Islamise,Islamisation,-ation
465,Islamize,Islamization,-ation
466,isoprenyl,isoprenylation,-ation
467,Italianize,Italianization,-ation
468,italicise,italicisation,-ation
469,italicize,italicization,-ization;-ation
470,itemise,itemisation,-ation
471,jargonize,jargonization,-ation
472,jeopardize,jeopardization,-ation
473,jobe,jobation,-ation
474,Jordanianize,Jordanianization,-ation
475,Jordanize,Jordanization,-ation
476,iugulum,jugulation,-ation
477,ketamine,ketamination,-ation
478,kryptonate,kryptonation,-ation
479,Kuwaitise,Kuwaitisation,-ation
480,Kuwaitize,Kuwaitization,-ation
481,kyanize,kyanization,-ation
482,labialize,labialization,-ation
483,laconize,laconization,-ation
484,lactate,lactation,-ation
485,lapse,lapsation,-ation
486,layerize,layerization,-ation
487,legalise,legalisation,-ation
488,legalize,legalization,-ation
489,legitimise,legitimisation,-ation
490,legitimize,legitimization,-ation
491,lemmatise,lemmatisation,-ation
492,lemmatize,lemmatization,-ation
493,liberalise,liberalisation,-ation
494,liberalize,liberalization,-ation
495,libtard,libtardation,-ation
496,linearise,linearisation,-ation
497,lingualize,lingualization,-ation
498,lionise,lionisation,-ation
499,lionize,lionization,-ation
500,lipid,lipidation,-ation
501,lipoyl,lipoylation,-ation
502,lithium,lithiation,-ation
503,lobe,lobation,-ation
504,lobotomize,lobotomization,-ation
505,lobule,lobulation,-ation
506,localize,localization,-ation
507,lyophilize,lyophilization,lyo-;-ization;-ation
508,macadamize,macadamization,-ation
509,maderize,maderization,-ation
510,magnetise,magnetisation,-ation
511,maleyl,maleylation,-ation
512,malonyl,malonylation,-ation
513,mammilla,mammillation,-ation
514,mannosyl,mannosylation,-ation
515,manualize,manualization,-ation
516,marginalise,marginalisation,-ation
517,margin,margination,-ation
518,marketize,marketization,-ation
519,masculinize,masculinization,-ation
520,maximize,maximization,-ation
521,mechanize,mechanization,-ation
522,melanize,melanization,-ation
523,memoize,memoization,-ation
524,memorialize,memorialization,-ation
525,memorize,memorization,-ation
526,menstruum,menstruation,-ation
527,menthol,mentholation,-ation
528,mercury,mercuriation,-ation
529,mesmerize,mesmerization,-ation
530,metal,metalation,-ation
531,metamictize,metamictization,-ation
532,methane,methanation,-ation
533,methoxyamine,methoxyamination,-ation
534,methyl,methylation,-ation
535,methylene,methylenation,-ation
536,metric,metrication,-ation
537,microfissure,microfissuration,-ation
538,minimize,minimization,-ation
539,minister,ministration,-ation
540,minoritize,minoritization,-ation
541,minorize,minorization,-ation
542,mischaracterize,mischaracterization,-ation
543,misconstrue,misconstruation,-ation
544,mnemonize,mnemonization,-ation
545,modernize,modernization,-ation
546,moisturise,moisturisation,-ation
547,moisturize,moisturization,-ation
548,monetize,monetization,-ation
549,monophthongize,monophthongization,-ation
550,monopolize,monopolization,-ation
551,moralize,moralization,-ization;-ation
552,morcellate,morcellation,-ation
553,Mormonise,Mormonisation,-ation
554,Mormonize,Mormonization,-ation
555,morphemize,morphemization,-ation
556,morphologize,morphologization,-ation
557,morula,morulation,-ation
558,motorise,motorisation,-ation
559,motorize,motorization,-ation
560,mouill%C3%A9,mouillation,-ation
561,multilateral,multilateration,-ation
562,multimerize,multimerization,-ation
563,multiplex,multiplexation,-ation
564,muscularize,muscularization,-ation
565,mutter,mutteration,-ation
566,mycorrhiza,mycorrhization,-ation
567,myelin,myelination,-ation
568,myristoyl,myristoylation,-ation
569,myristyl,myristylation,-ation
570,mythologize,mythologization,-ation
571,narcotize,narcotization,-ation
572,nasalize,nasalization,-ation
573,nationalise,nationalisation,-ation
574,culture,neoculturation,neo-;-ation
575,neologize,neologization,-ation
576,neurula,neurulation,-ation
577,neutralise,neutralisation,-ation
578,neutralize,neutralization,-ization;-ation
579,nigger,niggeration,-ation
580,fuck,niggerfuxation,-ation
581,nitride,nitridation,-ation
582,nitroso,nitrosation,-ation
583,nodule,nodulation,-ation
584,noncuple,noncuplication,-ic;-ation
585,norm,normation,-ation
586,numericalize,numericalization,-ation
587,nun,nunation,-ation
588,nun,nunnation,-ation
589,objective,objectivation,-ation
590,objectivize,objectivization,-ation
591,obligatorize,obligatorization,-ation
592,obstetric,obstetrication,-ation
593,occult,occultation,-ation
594,octanoyl,octanoylation,-ation
595,octave,octavation,-ation
596,olefin,olefination,-ation
597,oligotrophic,oligotrophication,-ation
598,opalize,opalization,-ation
599,operationalize,operationalization,-ation
600,optimalise,optimalisation,-ation
601,optimalize,optimalization,-ation
602,optimise,optimisation,-ation
603,optimize,optimization,-ation
604,oralise,oralisation,-ation
605,oralize,oralization,-ation
606,orient,orientation,-ation
607,ornament,ornamentation,-ation
608,osmylate,osmylation,-ation
609,ostracise,ostracisation,-ation
610,ostracize,ostracization,-ation
611,criminalize,overcriminalization,over-;-ation
612,overpressurize,overpressurization,over-;-ation
613,overspecialize,overspecialization,over-;-ation
614,ovine,ovination,-ation
615,oxime,oximation,-ation
616,oxygen,oxygenation,-ation
617,mercury,oxymercuration,oxy-;-ation
618,ozone,ozonation,-ation
619,packetize,packetization,-ation
620,palatalize,palatalization,-ization;-ation
621,Palestinianise,Palestinianisation,-ation
622,Palestinianize,Palestinianization,-ation
623,palmitoyl,palmitoylation,-ation
624,panegyrize,panegyrization,-ation
625,panel,panellation,-ation
626,pantheonize,pantheonization,-ation
627,papule,papulation,-ation
628,paralyse,paralysation,-ation
629,paralyze,paralyzation,-ation
630,parasite,parasitation,-ation
631,parcel,parcellation,-ation
632,parenthesize,parenthesization,-ation
633,passive,passivation,-ation
634,passportize,passportization,-ation
635,pastille,pastillation,-ation
636,patina,patination,-ation
637,patronize,patronization,-ation
638,pattern,patternation,-ation
639,pectize,pectization,-ation
640,pedicel,pedicellation,-ation
641,peior,pejoration,-ation
642,perceptualize,perceptualization,-ation
643,perennialize,perennialization,-ation
644,perennial,perenniation,-ation
645,perfect,perfectation,-ation
646,peripheralise,peripheralisation,-ation
647,peripheralize,peripheralization,-ation
648,orate,peroration,per-;-ation
649,peroxide,peroxidation,-ation
650,peroxidize,peroxidization,-ation
651,peroxide,peroxydation,per-;-ation
652,perplex,perplexation,-ation
653,personalise,personalisation,-ation
654,personalize,personalization,-ation
655,perspective,perspectivation,-ation
656,philosophize,philosophization,-ation
657,phlebotomize,phlebotomization,-ation
658,phlegmatize,phlegmatization,-ation
659,phonemicize,phonemicization,-ation
660,phonologise,phonologisation,-ation
661,phosphoryl,phosphorylation,-ation
662,phthaloyl,phthaloylation,-ation
663,picturize,picturization,-ation
664,pigment,pigmentation,-ation
665,pillarize,pillarization,-ation
666,pixel,pixelation,-ation
667,placenta,placentation,-ation
668,plagiarize,plagiarization,-ation
669,plane,planation,-ation
670,poetize,poetization,-ation
671,politicalize,politicalization,-ation
672,Polonize,Polonization,-ation
673,polyamide,polyamidation,-ation
674,glutamyl,polyglutamylation,poly-;-ation
675,polygon,polygonation,-ation
676,polymerise,polymerisation,-ation
677,polymerize,polymerization,-ation
678,pore,poration,-ation
679,port,portation,-ation
680,potentialize,potentialization,-ation
681,preconize,preconization,-ation
682,prefix,prefixation,-ation
683,preoccupy,preoccupation,pre-;-ation
684,pressurise,pressurisation,-ation
685,primitivize,primitivization,-ation
686,prioritize,prioritization,-ation
687,privatise,privatisation,-ation
688,problematize,problematization,-ation
689,productize,productization,-ation
690,professionalize,professionalization,-ation
691,prolific,prolification,-ation
692,propagandize,propagandization,-ation
693,propagule,propagulation,-ation
694,propargyl,propargylation,-ation
695,propionyl,propionylation,-ation
696,proselytize,proselytization,-ation
697,proton,protonation,-ation
698,pseudogene,pseudogenation,-ation
699,pseudonymize,pseudonymization,-ation
700,psychiatrize,psychiatrization,-ation
701,pulverise,pulverisation,-ation
702,pulverize,pulverization,-ation
703,puncture,puncturation,-ation
704,puparium,pupariation,-ation
705,purge,purgation,-ation
706,Putin,Putinisation,-ise;-ation
707,pyramidalize,pyramidalization,-ation
708,pyrolize,pyrolization,-ation
709,quantise,quantisation,-ation
710,quantize,quantization,-ation
711,quaternary,quaternation,-ation
712,racialize,racialization,-ation
713,race,raciation,-ation
714,radiopasteurize,radiopasteurization,radio-;-ation
715,rainforest,rainforestation,-ation
716,realise,realisation,-ation
717,realize,realization,-ation
718,baptise,rebaptisation,re-;-ation
719,recant,recantation,-ation
720,recarburize,recarburization,-ation
721,recirculate,recirculation,-ation
722,recognize,recognization,-ation
723,recompense,recompensation,-ation
724,reconceptualize,reconceptualization,-ation
725,reconsider,reconsideration,-ation
726,recreolize,recreolization,-ation
727,recyclize,recyclization,-ation
728,forest,reforestation,re-;-ation
729,regiment,regimentation,-ation
730,regionalize,regionalization,-ation
731,reinstitutionalize,reinstitutionalization,-ation
732,relax,relaxation,-ation
733,relexify,relexification,-ation
734,remagnetize,remagnetization,-ation
735,rematerialize,rematerialization,-ation
736,remonetize,remonetization,-ation
737,myelin,remyelination,re-;-ation
738,renationalize,renationalization,re-;-ation
739,nature,renaturation,re-;-ation
740,repaginate,repagination,-ation
741,repeat,repeatation,-ation
742,pristine,repristination,re-;-ation
743,soma,resomation,re-;-ation
744,retard,retardation,-ation
745,reticule,reticulation,-ation
746,retrograde,retrogradation,-ation
747,revitalise,revitalisation,-ation
748,revoke,revocation,-ation
749,rhamnosyl,rhamnosylation,-ation
750,rhapsodize,rhapsodization,-ation
751,rhotacise,rhotacisation,-ation
752,rhotacize,rhotacization,-ation
753,ribosyl,ribosylation,-ation
754,romanize,Romanization,-ation
755,rotund,rotundation,-ation
756,rubric,rubrication,-ation
757,sabbatize,sabbatization,-ation
758,sacculus,sacculation,-ation
759,sacralize,sacralization,-ation
760,sanitary,sanitation,-ation
761,sanitize,sanitization,-ation
762,Sanskritize,Sanskritization,-ation
763,satirize,satirization,-ation
764,scalarize,scalarization,-ation
765,scale,scalation,-ation
766,scatter,scatteration,-ation
767,scrutinize,scrutinization,-ation
768,scute,scutation,-ation
769,securitize,securitization,-ation
770,sediment,sedimentation,-ation
771,segment,segmentation,-ation
772,selenyl,selenylation,-ation
773,sensitise,sensitisation,-ation
774,sensitize,sensitization,-ation
775,septimus,septimation,-ation
776,serialize,serialization,-ation
777,sexify,sexification,-ation
778,shariatize,shariatization,-ation
779,Shatnerize,Shatnerization,-ation
780,absorb,absorbability,-ability
781,abuse,abusability,-ability
782,achieve,achievability,-ability
783,acquire,acquirability,-ability
784,act,actability,-ability
785,address,addressability,-ability
786,adjust,adjustability,-ability
787,adopt,adoptability,-ability
788,affect,affectability,-ability
789,affirm,affirmability,-ability
790,afford,affordability,-ability
791,algebraize,algebraizability,-ability
792,algorithmize,algorithmizability,-ability
793,alien,alienability,-ability
794,allow,allowability,-ability
795,alter,alterability,-ability
796,amove,amovability,-ability
797,amplify,amplifiability,-ability
798,annul,annullability,-ability
799,answer,answerability,-ability
800,approach,approachability,-ability
801,argue,arguability,-ability
802,arrange,arrangeability,-ability
803,arrest,arrestability,-ability
804,articulate,articulatability,-ability
805,ask,askability,-ability
806,assert,assertability,-ability
807,assess,assessability,-ability
808,assign,assignability,-ability
809,atomize,atomizability,-ability
810,attach,attachability,-ability
811,attain,attainability,-ability
812,attempt,attemptability,-ability
813,attest,attestability,-ability
814,attract,attractability,-ability
815,attribute,attributability,-ability
816,auction,auctionability,-ability
817,audit,auditability,-ability
818,autoclave,autoclavability,-ability
819,automate,automatability,-ability
820,axiomatize,axiomatizability,-ability
821,bank,bankability,-ability
822,bear,bearability,-ability
823,believe,believability,-ability
824,bend,bendability,-ability
825,bid,biddability,-ability
826,bill,billability,-ability
827,bleach,bleachability,-ability
828,bleb,blebbability,-ability
829,blend,blendability,-ability
830,blow,blowability,-ability
831,bond,bondability,-ability
832,boot,bootability,-ability
833,borrow,borrowability,-ability
834,bounce_back,bouncebackability,-ability
835,brag,bragability,-ability
836,break,breakability,-ability
837,broadcast,broadcastability,-ability
838,browse,browsability,-ability
839,bruise,bruisability,-ability
840,brush,brushability,-ability
841,build,buildability,-ability
842,burn,burnability,-ability
843,burst,burstability,-ability
844,bypass,bypassability,-ability
845,cache,cacheability,-ability
846,call,callability,-ability
847,camp,campability,-ability
848,cancel,cancelability,-ability
849,cancel,cancellability,-ability
850,capture,capturability,-ability
851,cash,cashability,-ability
852,cast,castability,-ability
853,catch,catchability,-ability
854,censor,censorability,-ability
855,censure,censurability,-ability
856,certify,certifiability,-ability
857,change,changeability,-ability
858,characterise,characterisability,-ability
859,characterize,characterizability,-ability
860,check,checkability,-ability
861,chicken,chickenability,-ability
862,choose,choosability,-ability
863,circumscribe,circumscribability,-ability
864,cite,citability,-ability
865,claim,claimability,-ability
866,clarify,clarifiability,-ability
867,clean,cleanability,-ability
868,cleave,cleavability,-ability
869,click,clickability,-ability
870,clone,clonability,-ability
871,close,closability,-ability
872,close,closeability,-ability
873,clot,clottability,-ability
874,cluster,clusterability,-ability
