Affix,Source Word,Derived Word
-ly,perimetrical,perimetrically
-ly,multimethodological,multimethodologically
-ly,parenteral,parenterally
-ic,arthrodia,arthrodic
-like,cyst,cystlike
East_Frisian,Frise,Frisian
-ly,illicit,illicitly
-ie,lip,lippie
-ly,gasping,gaspingly
-ly,foggy,foggily
-ally,nautic,nautically
-ish,raspberry,raspberryish
-ist,cento,centoist
-ist,Albanology,Albanologist
-ly,tortured,torturedly
-y,stool,stooly
-al,euphuistic,euphuistical
-ling,mean,meanling
-ly,opposing,opposingly
-an,Marsupialia,marsupialian
-al,ooid,ooidal
-y,fault,faulty
-ally,aerogenic,aerogenically
-ly,bioethical,bioethically
-dom,Hebrew,Hebrewdom
-dom,cat,catdom
-ian,Oxbridge,Oxbridgian
-ed,bubo,buboed
-an,Havana,Havanan
-y,bullock,bullocky
-ally,diuretic,diuretically
-like,guru,gurulike
-ation,oligotrophic,oligotrophication
-ly,doddering,dodderingly
-ed,cedar,cedared
-ation,osmylate,osmylation
-al,supplication,supplicational
-ie,Australia,Aussie
-ally,bolometric,bolometrically
-ed,legging,legginged
-al,mastoid,mastoidal
-ation,panegyrize,panegyrization
-an,Sipuncula,sipunculan
-ly,nonclonal,nonclonally
-ian,Taranto,Tarantian
-ship,hector,hectorship
-ly,Nietzschean,Nietzscheanly
-ship,bailiff,bailiffship
-ly,winding,windingly
-ly,agonising,agonisingly
-ly,publishable,publishably
-ed,Elastoplast,elastoplasted
-ous,Caricaceae,caricaceous
rhizo-,-al,rhizal
-y,grout,grouty
-ian,Matheson,Mathesonian
-able,pull,pullable
-ability,fix,fixability
-ly,irrecoverable,irrecoverably
-ly,vinous,vinously
-ally,electrometric,electrometrically
-ish,coon,coonish
-ist,cellar,cellarist
-ly,disconnective,disconnectively
-ic,enzymology,enzymologic
-ly,dormant,dormantly
-ic,pericope,pericopic
-able,disable,disableable
-ian,gamboge,gambogian
-th,nought,noughth
-ish,goose,gooseish
-y,squash,squashy
-an,Bradley,Bradleyan
-ous,schist,schistous
-ed,ingrain,ingrained
-able,leverage,leverageable
-ic,chorography,chorographic
-al,echolocation,echolocational
-ade,strawberry,strawberryade
-ly,overinclusive,overinclusively
-ly,affable,affably
-ly,unchristian,unchristianly
-able,canoe,canoeable
-y,gaud,gaudy
-y,rollick,rollicky
-y,hipster,hipstery
-ic,strangury,stranguric
-ly,transvascular,transvascularly
-ally,paraphyletic,paraphyletically
-ly,truculent,truculently
-like,maple,maplelike
-th,nothing,nothingth
-ally,polarimetric,polarimetrically
-like,bobbin,bobbinlike
-ly,cospatial,cospatially
-ly,unprovidential,unprovidentially
-ly,goddess,goddessly
-ical,coloproctology,coloproctological
-ly,upbraiding,upbraidingly
-ly,feigned,feignedly
-able,break,breakable
-ian,Arendt,Arendtian
-ly,frontotemporal,frontotemporally
-ly,multigranular,multigranularly
-y,plantigrade,plantigrady
-ly,cloud,cloudly
-ly,rankling,ranklingly
-ed,cardigan,cardiganed
-ly,unsophisticated,unsophisticatedly
-ed,salary,salaried
-ian,Abernethy,Abernethian
-an,antiquary,antiquarian
-ic,typology,typologic
-al,potation,potational
-like,cuff,cufflike
-ly,seismological,seismologically
-ly,interjective,interjectively
-ly,politic,politicly
-y,baseball,basebally
-ly,distributed,distributedly
-able,masculinize,masculinizable
-an,Placozoa,placozoan
-ist,ceremonial,ceremonialist
-ist,nomadology,nomadologist
-ic,alexia,alexic
-ic,oncology,oncologic
-y,mirth,mirthy
-al,digestion,digestional
-ally,mutualistic,mutualistically
-al,pheromone,pheromonal
-al,carina,carinal
-oid,plasma,plasmoid
-ly,mysterious,mysteriously
-ly,reflex,reflexly
-oid,spine,spinoid
-ic,hyperopia,hyperopic
-ly,snuffing,snuffingly
-an,Danube,Danuban
-able,rerun,rerunnable
-y,currant,curranty
-an,Girona,Gironan
-ing,kloof,kloofing
-al,pluteus,pluteal
-ous,Gentianaceae,gentianaceous
-ally,arthritic,arthritically
-ly,evaluative,evaluatively
-ly,controlled,controlledly
-al,sector,sectoral
-ly,following,followingly
-ic,chromosphere,chromospheric
-ly,coxcomb,coxcombly
-y,whiplash,whiplashy
-ly,oversentimental,oversentimentally
histo-,-oid,histoid
-ly,botchy,botchily
-ly,conquering,conqueringly
-ed,pulpit,pulpited
-ly,linger,lingerly
-ly,provisory,provisorily
-s,snert,snerts
-ian,Agrippina,Agrippinian
-ling,goat,goatling
-ally,antiphonic,antiphonically
-ic,Hassid,Hassidic
-ed,babyproof,babyproofed
-ly,dedicated,dedicatedly
-ly,nonmechanical,nonmechanically
-ist,Castro,Castrist
-ly,reasonable,reasonably
-like,sodium,sodiumlike
-ly,incise,incisely
-ally,heliocentric,heliocentrically
-y,arch,archy
-ally,cyclopaedic,cyclopaedically
-ly,teachable,teachably
-ly,seeming,seemingly
-ly,liberating,liberatingly
-ly,postmodern,postmodernly
-ed,lunge,lunged
-like,speaker,speakerlike
-al,microsome,microsomal
-y,muffin,muffiny
-al,combination,combinational
-y,crowd,crowdy
-able,cultivate,cultivatable
-ian,Horezm,Horezmian
-able,subclass,subclassable
-ly,scampering,scamperingly
-able,imprint,imprintable
-ship,counsellor,counsellorship
-ly,counterbalancing,counterbalancingly
-ed,rapier,rapiered
-ly,sacerdotal,sacerdotally
-ian,Latour,Latourian
-al,tangent,tangental
-ship,chieftain,chieftainship
-y,glint,glinty
-ly,motional,motionally
-ed,parapet,parapeted
-ly,schmoozing,schmoozingly
-ic,pancreatitis,pancreatitic
-able,picket,picketable
-y,skull,skully
-ly,adamant,adamantly
-ly,veneficious,veneficiously
-ed,gorbelly,gorbellied
-ly,causeless,causelessly
-ly,advancing,advancingly
-ic,noncuple,noncuplication
-able,comport,comportable
-ette,feature,featurette
-ally,diachronic,diachronically
-ly,intractable,intractably
-able,attune,attunable
-ed,siphuncle,siphuncled
-like,milk,milklike
-ly,despicable,despicably
-ic,centrosome,centrosomic
-like,goldfish,goldfishlike
-ly,disingenuous,disingenuously
-ous,splendor,splendrous
-ship,fox,foxship
-ly,competent,competently
-y,science,sciency
-ic,Egypt,Egyptic
-oid,Larus,laroid
-able,unfasten,unfastenable
-ic,epode,epodic
-ian,Morris,Morrisian
-th,umpteen,umpteenth
-ly,frequent,frequently
-ability,diversify,diversifiability
-ly,suprapubic,suprapubicly
-ette,jamboree,jamborette
-an,Myxozoa,myxozoan
-ist,reliable,reliabilist
-al,economic,economical
-ally,heterolytic,heterolytically
-ly,saturnal,saturnally
-ly,western,westernly
-ish,sweet,sweetish
-ic,biquaternion,biquaternionic
-ly,dysfunctional,dysfunctionally
-ic,stereography,stereographic
-ly,corpulent,corpulently
-ly,unsupportable,unsupportably
-able,cash,cashable
-al,fracture,fractural
-ian,Barcelona,Barcelonian
-ist,mechanism,mechanist
-osis,Legionella,legionellosis
-ly,plain,plainly
-able,shake,shakeable
-ian,Tauber,tauberian
-ist,dosimetry,dosimetrist
-ist,Hokan,Hokanist
-ist,Austroasiatic,Austroasiaticist
-y,dub,dubby
-ally,homeotic,homeotically
-ation,geranylgeranyl,geranylgeranylation
-ly,strong-handed,strong-handedly
-ic,Arvanite,Arvanitic
-ally,nanolithographic,nanolithographically
-able,unbullshit,unbullshitable
-like,pimp,pimplike
-able,recrystallize,recrystallizable
-able,deactivate,deactivatable
-ish,jig,jiggish
-ish,guidebook,guidebookish
-ian,Heisenberg,Heisenbergian
-like,mantra,mantralike
-ing,back,backing
-ic,sclerobase,sclerobasic
-ly,superior,superiorly
-ly,moveable,moveably
-ly,unsinful,unsinfully
-ly,differentiable,differentiably
-ic,anisocoria,anisocoric
-ing,clientele,clienteling
-ally,histrionic,histrionically
-ic,phoneme,phonemic
-y,aubergine,auberginey
-ation,address,addressation
grazing,Earth,Earth-grazing
-ian,Giscard,Giscardian
-able,unlike,unlikable
-ist,bestial,bestialist
-ly,automated,automatedly
-ist,lepidopterology,lepidopterologist
-ly,semiquantitative,semiquantitatively
-able,acre,acreable
-ly,bloody-minded,bloody-mindedly
-al,specific,specifical
-ly,transindividual,transindividually
-able,speak,speakable
-ally,microfluorimetric,microfluorimetrically
-ally,lymphatic,lymphatically
-al,routine,routinal
-like,maize,maizelike
-ed,bandolier,bandoliered
-al,inertia,inertial
-ly,provincial,provincially
-ing,dual,dualling
-y,quilt,quilty
-ist,ukulele,ukulelist
-ly,demure,demurely
-al,appellation,appellational
-ed,bioengineer,bioengineered
-like,pocket,pocketlike
-y,yarn,yarny
-able,amass,amassable
-ian,Pynchon,Pynchonian
-like,ligand,ligandlike
-ally,deontic,deontically
-ette,farmer,farmerette
-ian,manosphere,manospherian
-ly,foresighted,foresightedly
-ic,litany,litanic
-like,lasso,lassolike
-ly,thickheaded,thickheadedly
-ly,semiregular,semiregularly
-able,discourage,discourageable
-y,roomth,roomthy
-ly,biconical,biconically
-ic,aerodrome,aerodromic
-ic,fibroblast,fibroblastic
-s,Jake,Jakes
-ed,mope,moped
-ly,etymological,etymologically
-ability,condense,condensability
-ly,wondering,wonderingly
-ian,Kinkade,Kinkadian
-ly,paralogical,paralogically
-ist,dotara,dotarist
-ly,intraperitonial,intraperitonially
-an,Ottawa,Ottawan
-ation,oralize,oralization
-al,benediction,benedictional
-ed,trainer,trainered
-al,epididymosome,epididymosomal
-y,shoe,shoey
-ed,convex,convexed
-y,grab,grabby
-ly,hot,hotly
-ous,edema,edematous
-ic,resin,resinic
-ous,Alismataceae,alismataceous
-al,medicament,medicamental
-an,Protozoa,protozoan
-ly,skittish,skittishly
-age,prime,primage
-ist,explanation,explanationist
-ly,quaking,quakingly
-able,spool,spoolable
-ly,irreligious,irreligiously
-ed,enmire,enmired
-al,disprove,disproval
-ist,ping_pong,ping-pongist
-ly,bighearted,bigheartedly
-ian,Beelzebub,Beelzebubian
-ly,grandfather,grandfatherly
-ist,intentional,intentionalist
-ability,reorganize,reorganizability
-ly,uneager,uneagerly
-al,autoionization,autoionizational
-ian,liturgic,liturgician
-ability,refine,refinability
-ly,unhandy,unhandily
-ally,geodemographic,geodemographically
-like,leotard,leotardlike
-ic,archiphoneme,archiphonemic
-al,bathy,bathyal
-ally,pantomimic,pantomimically
-ally,enteric,enterically
-ship,horsewoman,horsewomanship
-like,orb,orblike
-ical,philosophy,philosophical
-able,scent,scentable
-ally,metabolic,metabolically
-like,divine,divinelike
-ly,angular,angularly
-ic,synchrotron,synchrotronic
-ly,crescive,crescively
-ly,recombinant,recombinantly
-ally,podalic,podalically
-like,sweat,sweatlike
-ally,etic,etically
-able,remark,remarkable
-ly,unwitting,unwittingly
-y,kiss,kissy
-like,racer,racerlike
-ation,hydroxyl,hydroxylation
-al,orientation,orientational
-ly,perplexed,perplexedly
-able,countervail,countervailable
-ist,aetiology,aetiologist
-ist,region,regionist
-ian,Satan,Satanian
-ish,bad,baddish
-able,mouth,mouthable
-ly,intoxicating,intoxicatingly
-able,chop,choppable
-ly,basolateral,basolaterally
-like,keyboard,keyboardlike
-ly,clinking,clinkingly
-ation,pyrolize,pyrolization
-ous,theropod,theropodous
-oid,petechia,petechioid
-able,unflap,unflappable
-ally,doxastic,doxastically
-ist,imperative,imperativist
-al,mucus,mucal
-ly,geek,geekly
-ing,brainstorm,brainstorming
-like,hinge,hingelike
-an,Crusoe,Crusoean
-ly,bare-handed,bare-handedly
-ie,Rottweiler,Rottie
-ic,saccharimetry,saccharimetric
-al,ambrosia,ambrosial
-ist,ornithology,ornithologist
-able,mortgage,mortgageable
-ly,unofficious,unofficiously
-ly,covalent,covalently
-o,lame,lameo
-like,sweep,sweeplike
-ly,inelegant,inelegantly
-s,Robin,Robbins
-ly,alienable,alienably
-ish,fume,fumish
-y,het,hetty
-able,mythologize,mythologizable
-oid,human,humanoid
-y,twinkle,twinkly
-ly,octahedral,octahedrally
-ic,egotist,egotistic
-able,laugh,laughable
-ous,Moringaceae,moringaceous
-ly,mouldy,mouldily
-ing,miskey,miskeying
-ian,Cotton,Cottonian
-ic,Lett,Lettic
-able,cite,citable
-like,neon,neonlike
-ation,metric,metrication
-oid,Indian,Indianoid
-ian,Aldenham,Aldenhamian
-ic,magnet,magnetic
-like,fetish,fetishlike
-ish,heavy,heavyish
-ic,erythroplakia,erythroplakic
-ist,syntactic,syntacticist
-ally,prehistoric,prehistorically
-ist,agriculture,agriculturist
-ic,pedant,pedantic
-ed,unload,unloaded
-ing,plank,planking
-ic,achondroplasia,achondroplasic
-o,beard,beardo
-ish,surfer,surferish
-ly,bracing,bracingly
-like,cane,canelike
-ic,megakaryoblast,megakaryoblastic
-ly,felicitous,felicitously
-ed,intersexualize,intersexualized
-able,infer,inferable
-ly,recuperative,recuperatively
-ist,karate,karateist
-al,annotation,annotational
-ly,unsayable,unsayably
-ly,superpolynomial,superpolynomially
-able,titrate,titratable
-ly,unconsoling,unconsolingly
-ian,Raup,Raupian
-ian,Guadeloupe,Guadeloupian
-y,oat,oaty
-an,Maimonides,Maimonidean
-al,representation,representational
-ability,require,requirability
-ie,Bolshevik,bolshie
-ly,lithe,lithely
-ly,unexpectant,unexpectantly
-ally,telomeric,telomerically
-ian,Kurzweil,Kurzweilian
-ly,radiant,radiantly
-ed,sturdy,sturdied
-ly,lithological,lithologically
-like,terrier,terrierlike
-ly,migratory,migratorily
-y,marshmallow,marshmallowy
-y,bee,beey
-y,mope,mopey
-ly,crotchety,crotchetily
-ly,crippling,cripplingly
-ly,niggard,niggardly
-ed,immethodize,immethodized
-like,suet,suetlike
-ship,pope,popeship
-ly,undesirable,undesirably
-able,actuate,actuatable
-ally,cladistic,cladistically
-able,awake,awakable
-al,emblematic,emblematical
-ly,gruff,gruffly
-ish,postcard,postcardish
-ly,unroyal,unroyally
-like,vomit,vomitlike
-ed,plaid,plaided
-ic,climate,climatic
-y,flannel,flannelly
-ly,foresightful,foresightfully
-y,goop,goopy
-ist,data,dataist
-oid,acarus,acaroid
-ly,illusive,illusively
-oid,spore,sporoid
hetero-,-otic,heterotic
-ed,microarray,microarrayed
-ic,uralite,uralitic
-ist,rapture,rapturist
-y,bottom,botty
-able,pain,painable
-ish,deaf,deafish
-ally,mediastinoscopic,mediastinoscopically
-ly,sanctimonious,sanctimoniously
-ic,Mishna,Mishnaic
-ly,misty,mistily
-ous,ginger,gingerous
-ing,mewl,mewling
-ly,worst,worstly
-able,irritate,irritatable
-ly,unrancorous,unrancorously
-ish,baby,babyish
-ly,mincing,mincingly
-ly,inaccessible,inaccessibly
-ly,palmar,palmarly
-ian,Bosporus,Bosporian
-ed,commove,commoved
-ist,paragram,paragrammatist
-oid,cylinder,cylindroid
-ly,state,stately
-ally,holographic,holographically
-ally,recidivistic,recidivistically
-ian,Creone,Creonian
-ic,kinetoscope,kinetoscopic
-ally,chasmic,chasmically
-able,remove,removable
-ly,unpopular,unpopularly
-ly,waxy,waxily
-ic,prototroph,prototrophic
-ly,concordant,concordantly
-able,rank,rankable
-ian,Artin,Artinian
-o,nuts,nutso
-y,thong,thongy
-ic,toxoplasma,toxoplasmic
-al,hymn,hymnal
-ed,dip,dipped
-ally,phytotherapeutic,phytotherapeutically
-al,formation,formational
-an,Montevideo,Montevidean
-ical,aerology,aerological
-ie,lad,laddie
-able,hate-watch,hate-watchable
-ing,orchard,orcharding
-ally,prosthetic,prosthetically
-ly,modular,modularly
-dom,hotel,hoteldom
-al,expose,exposal
-ly,bleary,blearily
-cidal,liberty,liberticidal
-ist,iridology,iridologist
-like,rain,rainlike
-ly,decrying,decryingly
-ly,shrinking,shrinkingly
-ship,consul,consulship
-ly,undivided,undividedly
-al,antipathic,antipathical
-ly,double,doubly
-y,synecdoche,synecdochy
-ly,sweet,sweetly
-an,Manitoba,Manitoban
-ic,ultrasonography,ultrasonographic
-ous,glebe,glebous
-ly,scabby,scabbily
-y,rumple,rumply
-ation,arcticize,arcticization
-ic,argillite,argillitic
-ly,favouring,favouringly
-ish,sylph,sylphish
-ship,goddess,goddessship
-ly,unenvious,unenviously
-ical,archeology,archeological
-ally,Pindaric,Pindarically
limno-,-phyte,limnophyte
-able,calculate,calculatable
-ie,rump,rumpie
-like,toad,toadlike
-age,quiet,quietage
-ly,deviceful,devicefully
-an,abecedary,Abecedarian
-ally,geostrategic,geostrategically
-ability,cite,citability
-ly,shrieky,shriekily
-al,canine,caninal
-able,cull,cullable
-ic,anarcha-feminist,anarcha-feministic
-ist,fictional,fictionalist
-ic,neurology,neurologic
-ability,impassable,impassability
-ian,paleomagnetic,paleomagnetician
-ly,unlofty,unloftily
-an,Calliope,Calliopean
-ally,eidetic,eidetically
-ed,holly,hollied
-oid,pyrite,pyritoid
-ly,uvular,uvularly
-able,juxtapose,juxtaposable
-ian,Jobs,Jobsian
-th,something,somethingth
-ly,swirling,swirlingly
-ed,imperil,imperiled
-ly,robustious,robustiously
-al,dune,dunal
-able,research,researchable
-able,moot,mootable
-s,duroy,duroys
-ly,equidistant,equidistantly
-y,whirr,whirry
-al,confession,confessional
-ling,chick,chickling
-y,risk,risky
-y,knag,knaggy
-ly,cartoonish,cartoonishly
-ability,question,questionability
-ly,dumbfounded,dumbfoundedly
-ic,huminite,huminitic
-ist,veto,vetoist
-ly,transgressive,transgressively
-ability,examine,examinability
-ian,fides,nullifidian
-ly,stewing,stewingly
-able,stimulate,stimulable
-ed,mayo,mayoed
-ic,griot,griotic
-ally,monopolistic,monopolistically
-ic,heteroheptamer,heteroheptameric
-an,Jivaro,Jivaroan
-ish,Rhine,Rhinish
-ic,niobium,niobic
-able,remember,rememberable
-ly,Heepish,Heepishly
-ation,adonize,adonization
-able,improvise,improvisable
-ed,chasuble,chasubled
-ic,chyluria,chyluric
-ic,deviator,deviatoric
-y,fuzz,fuzzy
-able,astound,astoundable
-ic,radionuclide,radionuclidic
-ability,prevent,preventability
-age,gauss,gaussage
-ist,frottoir,frottoirist
-ly,work,workly
-ly,relationship,relationshiply
-ed,pretense,pretensed
-an,Bloomsbury,Bloomsburyan
-ly,bulbous,bulbously
-an,Bukhara,Bukharan
-al,pyrexia,pyrexial
-ist,pigopoly,pigopolist
-o,wham,whammo
-ly,coercible,coercibly
-like,nurse,nurselike
-ly,knotty,knottily
-ly,shifting,shiftingly
-ly,unattractive,unattractively
-y,giggle,giggly
-ally,monometric,monometrically
-otic,kairos,kairotic
-ist,isolation,isolationist
-ic,discocyte,discocytic
-ally,hydrodynamic,hydrodynamically
-al,autolysosome,autolysosomal
-ed,sunbonnet,sunbonneted
-an,Kirby,Kirbyan
-ist,Eurasian,Eurasianist
-ic,Holland,Hollandic
-ly,periosteal,periosteally
-ist,information,informationist
-like,oxygen,oxygenlike
-ation,lobe,lobation
-able,lessen,lessenable
-ic,pseudomorph,pseudomorphic
-oid,Lepidodendron,lepidodendroid
-ally,episodic,episodically
-ic,epitome,epitomic
-y,miss,missy
-ian,nitrogen,nitrian
-ly,satisfied,satisfiedly
-ly,impoverished,impoverishedly
-able,spin,spinnable
-ly,uxorilocal,uxorilocally
-ly,meek,meekly
-like,love,lovelike
-an,Adelaide,Adelaidean
-ly,commonsensical,commonsensically
-ly,unexciting,unexcitingly
-y,crab,crabby
-ability,render,renderability
-al,emption,emptional
-ly,flashy,flashily
-able,retransplant,retransplantable
-an,Thoreau,Thoreauan
-oid,lesbian,lesbianoid
-like,satyr,satyrlike
-y,hypothyroid,hypothyroidy
-ling,home,homeling
-al,meditation,meditational
-ation,catalyze,catalyzation
-able,suture,suturable
-al,antidote,antidotal
-like,croquet,croquetlike
-ed,run,runned
-ic,grammatology,grammatologic
-like,pattern,patternlike
-ship,drunken,drunkenship
-ish,lukewarm,lukewarmish
-ly,unflattering,unflatteringly
-ist,urology,urologist
-ing,mousehole,mouseholing
-ly,unappetizing,unappetizingly
-like,jet,jetlike
-ly,spurning,spurningly
-able,chance,chanceable
-y,trill,trilly
-an,Belize,Belizean
-ally,tryptic,tryptically
-ist,jovial,jovialist
-ist,psychometry,psychometrist
-ical,axiology,axiological
-ally,stratospheric,stratospherically
-ly,sacrosanct,sacrosanctly
-able,territorialize,territorializable
-ly,hymeneal,hymeneally
-ly,metrical,metrically
-oid,ring,ringoid
-ic,hydrophyte,hydrophytic
-ly,guarded,guardedly
-ical,balenology,balenological
-ly,heartless,heartlessly
-like,muscle,musclelike
-ling,horse,horseling
-ation,chatter,chatteration
-able,initialize,initializable
-al,dispose,disposal
-able,entice,enticeable
-ship,censor,censorship
-ical,pedant,pedantical
-ly,sociohistorical,sociohistorically
-ly,woebegone,woebegonely
-ly,hasty,hastily
-ic,karma,karmic
-y,riff,riffy
-ly,replicative,replicatively
-ing,white,whiting
-ly,clerical,clerically
cupr-,-ian,cuprian
-ly,undiscerned,undiscernedly
-ist,mural,muralist
-ic,acetyl,acetylic
-ical,araneology,araneological
-ed,emblem,emblemed
-ly,exculpatory,exculpatorily
-ly,moody,moodily
-like,tent,tentlike
-ly,twittering,twitteringly
-ly,multimodal,multimodally
-ous,Poaceae,poaceous
-ly,silly,sillily
-ist,Dianetics,Dianeticist
-able,unfuckwith,unfuckwithable
-ly,honking,honkingly
-ical,balsam,balsamical
-ed,phallus,phallused
-ic,analgesia,analgesic
-ly,suppletive,suppletively
-ally,handraulic,handraulically
-ly,chortling,chortlingly
-ship,probationer,probationership
-ally,graphophonic,graphophonically
-ian,Anaximander,Anaximanderian
-ation,democratise,democratisation
-y,Brexit,Brexity
-ly,alpine,alpinely
-ing,flurry,flurrying
-ed,flannel,flannelled
-ly,barratrous,barratrously
-ly,microphysical,microphysically
-ly,palaeoecological,palaeoecologically
-ly,despising,despisingly
-ation,magnetise,magnetisation
-ic,galliambus,galliambic
-ic,quadrant,quadrantic
-dom,hippie,hippiedom
-ly,antiproliferative,antiproliferatively
-y,protector,protectory
-ly,depressing,depressingly
-ly,abathochroal,abathochroally
-ic,utopianist,utopianistic
-ist,Wallis,Uckewallist
-al,axolemma,axolemmal
-ian,polemic,polemician
-ist,inferential,inferentialist
-able,film,filmable
-like,custard,custardlike
-ability,derive,derivability
-ous,pulp,pulpous
-ly,forgivable,forgivably
-ation,scalarize,scalarization
-y,boat,boaty
-ly,inspiriting,inspiritingly
-ly,tranquilizing,tranquilizingly
-ling,green,greenling
-ic,periople,perioplic
-ly,former,formerly
-able,assert,assertable
-ly,bodacious,bodaciously
-ly,stated,statedly
-ly,mythohistorical,mythohistorically
-like,perfume,perfumelike
-ist,recession,recessionist
-ous,scavenger,scavengerous
-ous,moment,momentous
-ly,shaking,shakingly
-ist,convivial,convivialist
-n,Cantabrigia,Cantabrigian
-y,cledge,cledgy
-ly,nodal,nodally
-ally,unscientific,unscientifically
-ic,diorama,dioramic
-ation,peroxidize,peroxidization
-ic,carbamide,carbamic
-ly,intradiscal,intradiscally
-ly,ambient,ambiently
-ed,rafter,raftered
-ly,thus,thusly
-ally,symplastic,symplastically
-like,hotel,hotellike
-like,sheet,sheetlike
-an,Kinshasa,Kinshasan
-ic,oxymoron,oxymoronic
-ish,tart,tartish
-ly,stentorious,stentoriously
-ally,syncategorematic,syncategorematically
-able,twin,twinnable
-like,primrose,primroselike
-ally,anisotropic,anisotropically
-ed,language,languaged
-ic,coelom,coelomic
-ly,unattributable,unattributably
-ical,Semitology,Semitological
-like,summer,summer-like
-ly,uneatable,uneatably
-osis,labyrinth,labyrinthosis
-able,crawl,crawlable
-al,recount,recountal
-oid,Crotalus,crotaloid
-ical,oceanography,oceanographical
-ly,entitative,entitatively
-ian,Arctic,arctician
-ing,spheroplast,spheroplasting
-like,knowledge,knowledgelike
-y,swathe,swathy
-ical,suicide,suicidical
-y,truffle,truffly
-ist,evil,evilist
-ic,cataplexy,cataplexic
-ie,Jack,Jackie
-ly,polymorphous,polymorphously
-ship,provisor,provisorship
-ic,hyperosmia,hyperosmic
-ist,ripieno,ripienist
-osis,Lactococcus,lactococcosis
-ly,luminal,luminally
-like,teabag,teabaglike
-ly,substitutive,substitutively
-ed,gowan,gowaned
-ly,retrocessive,retrocessively
-able,feminize,feminizable
-ly,televisual,televisually
-like,speakeasy,speakeasylike
-y,pucker,puckery
-ly,prandial,prandially
-dom,devil,devildom
-s,interscapular,interscapulars
-ation,haptenize,haptenization
-ly,overboisterous,overboisterously
-age,quarter,quarterage
-ly,overriding,overridingly
-ish,cur,currish
-ly,toplofty,toploftily
-ed,catsuit,catsuited
-ally,arteriographic,arteriographically
-ist,theorbo,theorbist
-ly,conscienceless,consciencelessly
-ist,formula,formulist
-ly,habitational,habitationally
-al,retire,retiral
-ly,admirable,admirably
-ic,genome,genomic
-ic,threnody,threnodic
-ly,disjunctional,disjunctionally
-ally,adoxographic,adoxographically
-age,freight,freightage
-ly,uncountable,uncountably
-ally,poetic,poetically
gnatho-,-al,gnathal
-ly,whistling,whistlingly
-ly,libidinous,libidinously
-ly,unzealous,unzealously
-ical,personology,personological
-y,mother,mothery
-ly,swoony,swoonily
-y,rime,rimy
-ly,transfixing,transfixingly
-al,gonococcus,gonococcal
-ist,absentee,absenteeist
-ic,ectoderm,ectodermic
-ability,kiss,kissability
-ist,cult,cultist
-an,Mulvey,Mulveyan
-y,smur,smurry
-ly,reeking,reekingly
-ical,missiology,missiological
